Water,Cement,Quartz,Fly Ash,Bagasse,Silica Fume,Calcium Carbonate,Fiber,Predicted_Strength,Active_SCM
328.8044,750.0,202.9558,0.0,0.0,0.0,0.0,0.2583,3.2348,Quartz
343.1925,775.0,214.507,0.0,0.0,0.0,0.0,0.259,3.5979,Quartz
343.2355,775.0,214.507,0.0,0.0,0.0,0.0,0.2528,3.5979,Quartz
343.2351,775.0,214.2086,0.0,0.0,0.0,0.0,0.2508,3.5979,Quartz
343.2245,775.0,203.3927,0.0,0.0,0.0,0.0,0.2527,3.5979,Quartz
330.4329,775.0,203.3927,0.0,0.0,0.0,0.0,0.2527,3.5979,Quartz
347.5314,775.0,203.7931,0.0,0.0,0.0,0.0,0.2535,3.5979,Quartz
330.4329,775.0,203.3175,0.0,0.0,0.0,0.0,0.2527,3.5979,Quartz
343.2724,775.0,203.329,0.0,0.0,0.0,0.0,0.2528,3.5979,Quartz
340.9436,775.0,203.4958,0.0,0.0,0.0,0.0,0.2557,3.5979,Quartz
329.1752,775.0,214.012,0.0,0.0,0.0,0.0,0.2508,3.5979,Quartz
343.8549,775.0,202.343,0.0,0.0,0.0,0.0,0.2527,3.5979,Quartz
342.3093,775.0,214.5062,0.0,0.0,0.0,0.0,0.2528,3.5979,Quartz
329.3515,775.0,203.4795,0.0,0.0,0.0,0.0,0.2557,3.5979,Quartz
346.147,775.0,203.2127,0.0,0.0,0.0,0.0,0.2549,3.5979,Quartz
344.558,775.0,214.507,0.0,0.0,0.0,0.0,0.2549,3.5979,Quartz
343.2341,775.0,202.343,0.0,0.0,0.0,0.0,0.2525,3.5979,Quartz
333.3476,775.0,214.012,0.0,0.0,0.0,0.0,0.2578,3.5979,Quartz
343.8132,775.0,214.507,0.0,0.0,0.0,0.0,0.255,3.5979,Quartz
340.521,775.0,203.9071,0.0,0.0,0.0,0.0,0.2548,3.5979,Quartz
347.5314,775.0,215.9941,0.0,0.0,0.0,0.0,0.2549,3.5979,Quartz
304.0715,875.0001,0.0,81.4053,0.0,0.0,0.0,0.288,3.1876,Fly Ash
352.9378,750.0,0.0,14.8185,0.0,0.0,0.0,0.0719,2.9147,Fly Ash
363.241,850.0026,0.0,8.1656,0.0,0.0,0.0,0.0822,3.0554,Fly Ash
361.5507,825.0059,0.0,9.9261,0.0,0.0,0.0,0.0723,3.0463,Fly Ash
305.4596,900.0157,0.0,83.1691,0.0,0.0,0.0,0.2529,3.1878,Fly Ash
363.2427,850.0022,0.0,7.4713,0.0,0.0,0.0,0.0794,3.0554,Fly Ash
302.3383,775.0411,0.0,87.245,0.0,0.0,0.0,0.2511,2.9778,Fly Ash
305.4596,905.5598,0.0,83.1691,0.0,0.0,0.0,0.2529,3.1878,Fly Ash
361.0583,825.0059,0.0,9.2535,0.0,0.0,0.0,0.0704,3.0463,Fly Ash
362.8775,850.002,0.0,7.9164,0.0,0.0,0.0,0.0704,3.0554,Fly Ash
315.3328,975.0054,0.0,22.309,0.0,0.0,0.0,0.1909,3.3504,Fly Ash
308.8599,975.0054,0.0,18.6108,0.0,0.0,0.0,0.1955,3.3504,Fly Ash
301.0634,775.0002,0.0,79.1965,0.0,0.0,0.0,0.2556,2.9778,Fly Ash
308.9661,975.0054,0.0,18.6108,0.0,0.0,0.0,0.1929,3.3504,Fly Ash
364.2935,825.0051,0.0,14.2819,0.0,0.0,0.0,0.0739,3.0463,Fly Ash
311.141,975.0054,0.0,19.6389,0.0,0.0,0.0,0.1987,3.3504,Fly Ash
308.9661,975.0054,0.0,18.3457,0.0,0.0,0.0,0.1929,3.3504,Fly Ash
311.081,775.0002,0.0,86.3616,0.0,0.0,0.0,0.2603,2.9778,Fly Ash
311.141,975.0054,0.0,7.826,0.0,0.0,0.0,0.1987,3.3504,Fly Ash
372.8659,802.2141,0.0,0.0,7.3197,0.0,0.0,0.1025,2.9628,Bagasse
305.4512,975.0196,0.0,0.0,9.4965,0.0,0.0,0.2481,3.3504,Bagasse
353.9519,800.0006,0.0,0.0,12.7102,0.0,0.0,0.0975,2.9628,Bagasse
353.9495,750.0,0.0,0.0,2.0232,0.0,0.0,0.1391,2.9147,Bagasse
362.327,775.001,0.0,0.0,22.3227,0.0,0.0,0.1118,2.9594,Bagasse
381.1341,825.0003,0.0,0.0,5.2924,0.0,0.0,0.119,3.0463,Bagasse
305.369,975.0196,0.0,0.0,9.4336,0.0,0.0,0.2481,3.3504,Bagasse
362.9653,800.0006,0.0,0.0,24.3446,0.0,0.0,0.1087,2.9628,Bagasse
367.7712,750.0,0.0,0.0,7.4391,0.0,0.0,0.1093,2.9147,Bagasse
354.193,850.0,0.0,0.0,24.315,0.0,0.0,0.0893,3.0554,Bagasse
318.5838,975.0,0.0,0.0,5.4611,0.0,0.0,0.2387,3.3504,Bagasse
371.8128,825.0003,0.0,0.0,2.9493,0.0,0.0,0.1098,3.0463,Bagasse
376.6696,800.0005,0.0,0.0,23.2131,0.0,0.0,0.1076,2.9628,Bagasse
372.3081,775.001,0.0,0.0,21.913,0.0,0.0,0.1123,2.9594,Bagasse
317.9246,975.0,0.0,0.0,5.2539,0.0,0.0,0.2373,3.3504,Bagasse
371.8128,825.0003,0.0,0.0,3.407,0.0,0.0,0.1098,3.0463,Bagasse
382.2498,825.0003,0.0,0.0,8.9365,0.0,0.0,0.1304,3.0463,Bagasse
371.8844,825.0003,0.0,0.0,23.8683,0.0,0.0,0.1075,3.0463,Bagasse
318.5843,975.0,0.0,0.0,23.5367,0.0,0.0,0.238,3.3504,Bagasse
356.2269,825.0003,0.0,0.0,23.1544,0.0,0.0,0.0901,3.0463,Bagasse
382.5158,775.0007,0.0,0.0,1.2339,0.0,0.0,0.108,2.9594,Bagasse
316.5574,975.0,0.0,0.0,5.9863,0.0,0.0,0.238,3.3504,Bagasse
356.2269,825.0003,0.0,0.0,23.1544,0.0,0.0,0.1064,3.0463,Bagasse
356.7942,750.0,0.0,0.0,0.0,3.0541,0.0,0.1094,2.9147,Silica Fume
355.3394,774.6579,0.0,0.0,0.0,4.6451,0.0,0.1309,2.9147,Silica Fume
358.002,775.9023,0.0,0.0,0.0,17.6151,0.0,0.078,2.9594,Silica Fume
358.1907,850.0034,0.0,0.0,0.0,17.6537,0.0,0.0749,3.0554,Silica Fume
357.9315,775.0002,0.0,0.0,0.0,13.2321,0.0,0.1369,2.9594,Silica Fume
355.5945,800.0052,0.0,0.0,0.0,3.1582,0.0,0.1116,2.9628,Silica Fume
357.8414,775.0002,0.0,0.0,0.0,13.2628,0.0,0.0667,2.9594,Silica Fume
